Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Afghanistan,AFG,..,..,57360414056,64675178728,68297470348,70158264544,71176481719,72785293846,74711922905,75600418107,78557606647,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Albania,ALB,16195676087,18583269635,32779412691,33244069386,33577170690,34172993146,34931207194,36089108511,37461287688,38986449579,39859773444,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Algeria,DZA,2.25296E+11,2.70392E+11,4.06144E+11,4.19953E+11,4.31712E+11,4.48117E+11,4.64697E+11,4.79568E+11,4.85802E+11,4.91632E+11,4.95565E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Angola,AGO,68524299956,77517262957,1.85904E+11,2.01785E+11,2.11782E+11,2.21996E+11,2.2409E+11,2.18309E+11,2.17987E+11,2.1362E+11,2.12285E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Antigua and Barbuda,ATG,966654847.2,1391930019,1571247040,1624243100,1614483406,1675764799,1739867714,1835521960,1893259104,2033155752,2127873345,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Argentina,ARG,4.61383E+11,6.86729E+11,1.017E+12,1.00656E+12,1.03077E+12,1.00487E+12,1.03232E+12,1.01084E+12,1.03933E+12,1.01267E+12,9.91523E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Armenia,ARM,18327906065,12426495761,27975112937,29989321069,30978968665,32094211537,33121226305,33187468758,35676528915,37531708419,40384118258,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Aruba,ABW,2275001195,3727000980,3569762500,3520861644,3668675595,3679681622,3889423507,3971101384,4050523376,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Australia,AUS,5.34253E+11,7.4026E+11,1.02379E+12,1.0639E+12,1.0914E+12,1.11905E+12,1.14358E+12,1.17527E+12,1.20231E+12,1.23777E+12,1.26451E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Austria,AUT,2.89196E+11,3.74002E+11,4.48304E+11,4.51355E+11,4.5147E+11,4.54455E+11,4.59066E+11,4.68199E+11,4.79434E+11,4.91804E+11,4.98781E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Azerbaijan,AZE,55540624744,32705257850,1.27554E+11,1.30364E+11,1.37982E+11,1.41842E+11,1.4333E+11,1.38939E+11,1.39153E+11,1.41241E+11,1.44374E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Bahamas, The",BHS,9762057512,12076240811,13036202738,13438589495,13078572434,13216461977,13246923030,13438213432,13856896226,14276205791,14450071969,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bahrain,BHR,19143294360,32835915082,56440015074,58544160034,61715403402,64400264666,66000855035,68349250017,71282082008,72550499217,73870319406,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bangladesh,BGD,1.56587E+11,2.47366E+11,4.53037E+11,4.82581E+11,5.11602E+11,5.4261E+11,5.78166E+11,6.19293E+11,6.64404E+11,7.16651E+11,7.75077E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Barbados,BRB,3648937306,4106450808,4370662427,4350749419,4289553345,4284210831,4389118386,4497911405,4519281463,4493054574,4488735151,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Belarus,BLR,90636010186,80367532170,1.72902E+11,1.75819E+11,1.77584E+11,1.80649E+11,1.73731E+11,1.69342E+11,1.7363E+11,1.79098E+11,1.81287E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Belgium,BEL,3.55166E+11,4.42615E+11,5.33431E+11,5.37374E+11,5.39842E+11,5.48363E+11,5.59558E+11,5.66646E+11,5.75758E+11,5.86192E+11,5.96414E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Belize,BLZ,899858477.3,1612835269,2369290968,2426473397,2458069113,2547428774,2620021383,2622250529,2671291731,2726826531,2734289323,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Benin,BEN,10829251970,17015312597,25618692190,26851264682,28782255585,30612139032,31156469107,32196993426,34023063768,36301676625,38794036239,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bermuda,BMU,3913226389,5143363315,5541487978,5247495466,5232817773,5039147650,5078227736,5044853304,5227044137,5204421422,5228356032,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bhutan,BTN,1477849969,2400402786,6062852899,6373174014,6508283559,6884234277,7341501097,7938147353,8307416844,8561219215,9029048970,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bolivia,BOL,31491964100,45589360528,69907483850,73488337955,78482613664,82768211466,86788418466,90489007926,94285208488,98267460721,1.00446E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bosnia and Herzegovina,BIH,..,26755118627,41023484847,40686338885,41642409531,42122900928,43424146483,44791923252,46212469927,47940849156,49224782196,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Botswana,BWA,11676288630,18799578991,29768431465,31094955778,34622180049,36058745098,35446490891,36972025427,38045692207,39749696577,40928722522,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Brazil,BRA,1.56717E+12,2.02707E+12,3.02559E+12,3.08371E+12,3.17638E+12,3.19238E+12,3.07919E+12,2.97832E+12,3.01772E+12,3.05747E+12,3.09222E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Brunei Darussalam,BRN,18428919885,22996076890,27317473701,27566838985,26980760126,26303987537,26200774965,25551541320,25891019750,25904544646,26906819939,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Bulgaria,BGR,1.05155E+11,83281919815,1.31919E+11,1.3239E+11,1.32821E+11,1.35325E+11,1.40725E+11,1.46101E+11,1.51219E+11,1.55895E+11,1.61654E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Burkina Faso,BFA,8965578967,15052586781,28557929809,30400679458,32161664609,33553250183,34868949891,36946433804,39238401912,41879631194,44266533525,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Burundi,BDI,6444307086,5281708122,7637064601,7976662580,8369449021,8724368199,8384117570,8333811187,8375481077,8510320717,8667121392,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cabo Verde,CPV,590950869.9,1740748844,3175794137,3210153634,3235924670,3255703052,3288483544,3443232723,3570702548,3732496854,3944045536,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cambodia,KHM,..,18127526050,41630751178,44675351848,47961967888,51387685546,55003367900,58870636423,62890960722,67588392994,72356150510,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cameroon,CMR,37966569606,42671276191,65369818781,68339742889,72033004180,76271468880,80581923291,84327759128,87320624933,90868013830,94248950400,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Canada,CAN,9.62085E+11,1.1473E+12,1.58174E+12,1.60961E+12,1.6471E+12,1.69437E+12,1.70554E+12,1.72262E+12,1.77724E+12,1.81303E+12,1.84305E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cayman Islands,CYM,..,..,3827771749,3874843913,3924415976,4028590749,4142725657,4276949034,4409643996,4591607316,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Central African Republic,CAF,3372788349,3786415842,5491108086,5768615578,3669302318,3672277041,3831548140,4013558817,4195263791,4354240946,4483573904,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Chad,TCD,5985824130,7497921362,20726523800,22567573044,23853925015,25499842274,26205595208,24566297102,23832085167,24397867877,25190111031,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Chile,CHL,1.26434E+11,2.32004E+11,3.72254E+11,3.92053E+11,4.07912E+11,4.15118E+11,4.24682E+11,4.31948E+11,4.37082E+11,4.54344E+11,4.59135E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,China,CHN,1.61639E+12,4.35825E+12,1.30201E+13,1.40439E+13,1.51346E+13,1.62585E+13,1.74033E+13,1.85952E+13,1.9887E+13,2.12294E+13,2.25265E+13,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Colombia,COL,2.77758E+11,3.61966E+11,5.7563E+11,5.98153E+11,6.28862E+11,6.57155E+11,6.76579E+11,6.90702E+11,7.00091E+11,7.17701E+11,7.411E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Comoros,COM,1260037682,1536820756,2066518443,2132652673,2228619361,2275420511,2300817403,2377220187,2467927827,2552596610,2603293975,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Congo, Dem. Rep.",COD,62984305228,35402751926,59734281098,63967589236,69393292416,75965037128,81218921766,83167671599,86267287184,91289010441,95291603469,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Congo, Rep.",COG,12055206798,13887534950,22788006714,25054764640,24876265865,26357699107,25504959572,22905905911,21844655234,20489411289,19763239854,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Costa Rica,CRI,29789674112,47815726288,76000767845,79646463816,81453663904,84317035963,87379204268,91089316437,94605544822,97122407363,99146239080,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cote d'Ivoire,CIV,53660442221,67363317619,71871272272,79566172987,86639145317,94258258807,1.02593E+11,1.09959E+11,1.18051E+11,1.26185E+11,1.34049E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Croatia,HRV,..,80866700776,1.03598E+11,1.0112E+11,1.00668E+11,1.00324E+11,1.02764E+11,1.06359E+11,1.10017E+11,1.13106E+11,1.16339E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Curacao,CUW,..,3971608076,4270485436,4264553003,4230687899,4182507191,4194163627,4152785279,4080536557,3992146786,3856413796,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Cyprus,CYP,14612268559,22832465713,31849583793,30751785304,28736596748,28210915566,29118903352,30993595379,32591246151,34299271175,35353985543,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Czech Republic,CZE,2.44647E+11,2.57116E+11,3.58257E+11,3.55444E+11,3.55281E+11,3.63318E+11,3.82895E+11,3.9261E+11,4.12903E+11,4.26039E+11,4.35988E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Denmark,DNK,2.01221E+11,2.61901E+11,2.8656E+11,2.87209E+11,2.89889E+11,2.94584E+11,3.01485E+11,3.11271E+11,3.20054E+11,3.27017E+11,3.36335E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Djibouti,DJI,..,..,..,..,3558298198,3809568964,4102756652,4375698707,4612122077,4999893743,5388410350,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Dominica,DMA,547565321.2,669439808.8,848888979.6,839899243.3,831500749.5,868485465.2,845113575.3,866718860.9,807786936.2,826350528.1,855741694.7,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Dominican Republic,DOM,44250527082,78970796249,1.27811E+11,1.31284E+11,1.37684E+11,1.47391E+11,1.57601E+11,1.68096E+11,1.75941E+11,1.88226E+11,1.97735E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Ecuador,ECU,84852688573,1.03685E+11,1.67443E+11,1.7689E+11,1.8564E+11,1.92674E+11,1.92864E+11,1.90499E+11,1.95011E+11,1.97525E+11,1.97631E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Egypt, Arab Rep.",EGY,3.41673E+11,5.33081E+11,8.70858E+11,8.90245E+11,9.09701E+11,9.36227E+11,9.77159E+11,1.01963E+12,1.06227E+12,1.11872E+12,1.18089E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,El Salvador,SLV,27745199010,38557835419,47048959983,48373101268,49454593151,50300871626,51505591735,52817198695,54005555165,55318408878,56636294133,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Equatorial Guinea,GNQ,435949252.9,6774982263,34912908412,37815173745,36252197551,36402668207,33086370154,30169337714,28459489607,26650507938,25164393411,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Estonia,EST,..,24889045417,37464550080,38635259714,39155361682,40325059521,41069011172,42378216126,44708659794,46655929718,48987067019,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Eswatini,SWZ,4192567386,5609442429,8121386805,8559235887,8889816848,8970998344,9168658515,9269579626,9457434168,9681727593,9898977769,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Ethiopia,ETH,36730641303,48196209694,1.22675E+11,1.33284E+11,1.47388E+11,1.62506E+11,1.79395E+11,1.96318E+11,2.15094E+11,2.29755E+11,2.48972E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Fiji,FJI,6157509971,7766143068,9314616294,9446074814,9893272729,10447606765,10917959913,11184877062,11783674116,12232942862,12178465322,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Finland,FIN,1.6389E+11,2.06048E+11,2.51757E+11,2.48239E+11,2.46E+11,2.45103E+11,2.46435E+11,2.53364E+11,2.61649E+11,2.6562E+11,2.68663E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,France,FRA,1.97382E+12,2.43178E+12,2.81427E+12,2.82308E+12,2.83935E+12,2.8665E+12,2.8984E+12,2.93015E+12,2.9973E+12,3.05103E+12,3.09706E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Gabon,GAB,17260994662,20350525244,25073166049,26389777283,27877817392,29080735300,30208747765,30840546267,30986311651,31247511058,32480208559,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Gambia, The",GMB,2164645786,2991838219,3865996599,4068635488,4185517979,4126611731,4294072681,4377521957,4588632823,4920615376,5218645522,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Georgia,GEO,53472492794,20056352794,39598417257,42120443741,43645753625,45580100614,46957625779,48322420425,50662483514,53129713418,55776821938,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Germany,DEU,2.92745E+12,3.54408E+12,4.01116E+12,4.02795E+12,4.04558E+12,4.13497E+12,4.19666E+12,4.29024E+12,4.40187E+12,4.45769E+12,4.48245E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Ghana,GHA,34631391604,52765024659,1.05479E+11,1.15281E+11,1.23711E+11,1.27295E+11,1.30068E+11,1.34552E+11,1.45509E+11,1.54623E+11,1.64641E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Greece,GRC,2.45164E+11,3.11965E+11,3.37408E+11,3.12775E+11,3.02637E+11,3.04876E+11,3.03541E+11,3.02961E+11,3.07521E+11,3.1347E+11,3.19334E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Grenada,GRD,849027655.4,1194288798,1435700197,1419115796,1452485151,1559156772,1659615484,1721612314,1798099078,1872561109,1908407297,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Guatemala,GTM,50321590504,75322007222,1.08963E+11,1.12199E+11,1.16348E+11,1.21518E+11,1.26491E+11,1.29878E+11,1.33805E+11,1.38107E+11,1.43417E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Guinea,GIN,9577121445,14050333017,20137940106,21329484246,22168753385,22990649190,23867730936,26452321416,29176885980,30985787172,32720991253,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Guinea-Bissau,GNB,1945323523,2069557176,2875432397,2826185355,2918203244,2946351087,3127082707,3322925819,3519615667,3653361063,3821419107,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Guyana,GUY,3599899545,5806709574,7735645123,8143802528,8441328826,8583683405,8642687478,8971756372,9306806134,9720119601,10240421156,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Haiti,HTI,22729787917,22721515957,28889030071,29048834518,29944993567,30963655538,31464311564,32006298439,32738003150,33284016296,32724184091,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Honduras,HND,19771799007,27013182175,42033616973,43769053768,44990893059,46366750814,48147271125,50021631004,52444135530,54382853396,55825500608,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Hong Kong SAR, China",HKG,1.6428E+11,2.42053E+11,3.7814E+11,3.84569E+11,3.96497E+11,4.0745E+11,4.17179E+11,4.26229E+11,4.42388E+11,4.54985E+11,4.493E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Hungary,HUN,..,2.00627E+11,2.5211E+11,2.48629E+11,2.53256E+11,2.63966E+11,2.74048E+11,2.79912E+11,2.91996E+11,3.07779E+11,3.21869E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Iceland,ISL,8756136102,11467638988,15174663137,15371393177,16006823691,16340185509,17116178463,18250473880,19080137303,19807934449,20187984705,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,India,IND,1.58046E+12,2.71947E+12,5.49101E+12,5.79062E+12,6.16042E+12,6.61692E+12,7.14603E+12,7.73602E+12,8.28094E+12,8.78769E+12,9.15508E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Indonesia,IDN,8.22264E+11,1.20336E+12,2.12766E+12,2.25596E+12,2.38133E+12,2.50055E+12,2.62249E+12,2.75448E+12,2.89413E+12,3.04374E+12,3.19668E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Iran, Islamic Rep.",IRN,4.87544E+11,6.61165E+11,1.04529E+12,9.67469E+11,9.65591E+11,1.01004E+12,9.96703E+11,1.13022E+12,1.17267E+12,1.102E+12,1.02724E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Iraq,IRQ,1.38684E+11,1.97719E+11,2.89911E+11,3.30315E+11,3.55419E+11,3.57906E+11,3.66774E+11,4.2257E+11,4.12028E+11,4.09706E+11,4.27737E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Ireland,IRL,93029883400,1.82715E+11,2.42707E+11,2.43255E+11,2.46543E+11,2.67639E+11,3.34984E+11,3.47304E+11,3.75592E+11,4.06278E+11,4.28825E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Israel,ISR,1.09904E+11,1.98531E+11,2.79011E+11,2.85309E+11,2.97144E+11,3.08311E+11,3.15372E+11,3.2793E+11,3.39528E+11,3.51255E+11,3.63449E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Italy,ITA,2.08527E+12,2.46358E+12,2.55939E+12,2.48309E+12,2.43738E+12,2.43727E+12,2.45624E+12,2.48801E+12,2.5295E+12,2.55338E+12,2.56214E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Jamaica,JAM,20790383780,24804122879,26974703230,26809176729,26943640992,27129950372,27380273578,27756927225,28035430606,28579564152,28779621101,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Japan,JPN,3.96169E+12,4.50523E+12,4.79546E+12,4.86716E+12,4.96452E+12,4.98312E+12,5.04406E+12,5.07039E+12,5.18033E+12,5.19707E+12,5.23107E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Jordan,JOR,28256729822,44779454820,84417072036,86467865211,88724631023,91727141840,94017136257,95892007955,97893384071,99786731860,1.01738E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Kazakhstan,KAZ,2.203E+11,1.52941E+11,3.63763E+11,3.81224E+11,4.04097E+11,4.21069E+11,4.26122E+11,4.30809E+11,4.48473E+11,4.6686E+11,4.87869E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Kenya,KEN,76153822930,91666253121,1.48505E+11,1.55282E+11,1.6441E+11,1.73218E+11,1.83123E+11,1.93889E+11,2.03207E+11,2.16046E+11,2.27639E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Kiribati,KIR,154617940.6,184456490.6,201258306.8,210744253.1,219626646.9,218094030.5,240787604,253152970.4,255409849.8,261317882.7,267190651.8,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,"Korea, Rep.",KOR,5.43149E+11,1.08063E+12,1.76909E+12,1.81159E+12,1.86892E+12,1.92878E+12,1.98296E+12,2.04139E+12,2.10589E+12,2.16712E+12,2.21132E+12,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Kosovo,XKX,..,8016355163,15517119323,15953190960,16501909041,16703590072,17387634500,18095476460,18860124253,19579754969,20396555629,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Kuwait,KWT,..,1.12451E+11,1.92895E+11,2.05676E+11,2.0804E+11,2.09082E+11,2.10322E+11,2.16475E+11,2.06275E+11,2.08846E+11,2.09738E+11,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Kyrgyz Republic,KGZ,22651204109,15081729077,23903920384,23882849027,26489774124,27555732868,28623744973,29864829305,31280403475,32455892922,33918725105,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Lao PDR,LAO,8366077048,15232555754,32746038985,35374268307,38213513284,41122311945,44111931100,47209839790,50463792572,53616750150,56110940844,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Latvia,LVA,..,30469116890,46973965370,48971168283,50102488496,50640405891,52669503165,53919310514,55672076481,57912494003,59102063833,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Lebanon,LBN,21170906256,55188702122,97418333333,99893287486,1.037E+11,1.06253E+11,1.06478E+11,1.08106E+11,1.09026E+11,1.06926E+11,99761491978,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Lesotho,LSO,2188033978,3291731022,4780823758,5103224670,5316892221,5470229734,5615198691,5898602456,5820641497,5794293025,5747607213,..
"GDP, PPP (constant 2017 international $)",NY.GDP.MKTP.PP.KD,Liberia,LBR,..,4839570803,5979073584,6457029707,7019051384,7068265036,7068265036,6955202194,7126900130,7214030141,7049676851,..
